lib	alg	dim	median_ratio
Baselines	DE	2	2.34484e-06
Baselines	RCobyla	2	0.0389464
Baselines	PSO	2	3.40038
Baselines	RandomSearch	2	1
Baselines	DiagonalCMA	2	1.20021e-05
Baselines	modcma	2	0
Baselines	modde	2	0
Baselines	OnePlusOne	2	4.16469
Baselines	Powell	2	9.50553e-11
Baselines	MultiBFGS	2	0
Baselines	lshade	2	0
Baselines	bipop	2	0
EVOLOPY	DE	2	0
EVOLOPY	JAYA	2	0.0516448
EVOLOPY	PSO	2	0
EVOLOPY	WOA	2	0.0280363
EVOLOPY	FFA	2	1.44133e-06
EVOLOPY	BAT	2	3.47451
EVOLOPY	MVO	2	0.00014182
EVOLOPY	HHO	2	0.0370432
EVOLOPY	SCA	2	0.15108
EVOLOPY	GA	2	0.475678
EVOLOPY	MFO	2	0.00659967
EVOLOPY	CS	2	0
EVOLOPY	GWO	2	0.00056004
EVOLOPY	SSA	2	0.0438344
NIAPY	DynamicFireworksAlgorithm	2	0.861579
NIAPY	HarmonySearch	2	0.0351687
NIAPY	EvolutionStrategyMp1	2	0
NIAPY	MonarchButterflyOptimization	2	8.90624
NIAPY	CenterParticleSwarmOptimization	2	0
NIAPY	DynNpDifferentialEvolution	2	3.2356
NIAPY	CamelAlgorithm	2	0.0893374
NIAPY	BatAlgorithm	2	0.419295
NIAPY	GlowwormSwarmOptimization	2	5.51947
NIAPY	BareBonesFireworksAlgorithm	2	2.17812
NIAPY	CuckooSearch	2	0
NIAPY	GeneticAlgorithm	2	1.01949
NIAPY	ParticleSwarmAlgorithm	2	0
NIAPY	MonkeyKingEvolutionV3	2	15.2815
NIAPY	MonkeyKingEvolutionV2	2	3.6602e-05
NIAPY	SineCosineAlgorithm	2	241.72
NIAPY	EvolutionStrategy1p1	2	0.0320429
NIAPY	HarrisHawksOptimization	2	0.0065496
NIAPY	ParticleSwarmOptimization	2	0.880043
NIAPY	ForestOptimizationAlgorithm	2	0.050654
NIAPY	EnhancedFireworksAlgorithm	2	1.01738
NIAPY	MultiStrategyDifferentialEvolution	2	0
NIAPY	MutatedParticleSwarmOptimization	2	0
NIAPY	ComprehensiveLearningParticleSwarmOptimizer	2	0.000361947
NIAPY	KrillHerd	2	12.1263
NIAPY	FishSchoolSearch	2	0.0394836
