lib	alg	dim	budget_factor	wins	losses	pairs	p_better	holm_better	p_worse	holm_worse	verdict
EVOLOPY	DE	2	10	670	529	1200	2.5887e-05	-1	0.99998	-1	descriptive
EVOLOPY	JAYA	2	10	630	567	1200	0.0365422	-1	0.967854	-1	descriptive
EVOLOPY	PSO	2	10	630	567	1200	0.0365422	-1	0.967854	-1	descriptive
EVOLOPY	WOA	2	10	630	567	1200	0.0365422	-1	0.967854	-1	descriptive
EVOLOPY	FFA	2	10	630	567	1200	0.0365422	-1	0.967854	-1	descriptive
EVOLOPY	BAT	2	10	630	567	1200	0.0365422	-1	0.967854	-1	descriptive
EVOLOPY	MVO	2	10	630	567	1200	0.0365422	-1	0.967854	-1	descriptive
EVOLOPY	HHO	2	10	613	584	1200	0.209176	-1	0.807055	-1	descriptive
EVOLOPY	SCA	2	10	630	567	1200	0.0365422	-1	0.967854	-1	descriptive
EVOLOPY	GA	2	10	521	473	995	0.0679936	-1	0.939952	-1	descriptive
EVOLOPY	MFO	2	10	630	567	1200	0.0365422	-1	0.967854	-1	descriptive
EVOLOPY	CS	2	10	630	567	1200	0.0365422	-1	0.967854	-1	descriptive
EVOLOPY	GWO	2	10	630	567	1200	0.0365422	-1	0.967854	-1	descriptive
EVOLOPY	SSA	2	10	635	563	1200	0.0200964	-1	0.982553	-1	descriptive
NIAPY	DynamicFireworksAlgorithm	2	10	303	896	1200	1	-1	1.06162e-68	-1	descriptive
NIAPY	HarmonySearch	2	10	659	539	1200	0.000290109	-1	0.999766	-1	descriptive
NIAPY	EvolutionStrategyMp1	2	10	346	853	1200	1	-1	3.79628e-50	-1	descriptive
NIAPY	MonarchButterflyOptimization	2	10	610	588	1200	0.272026	-1	0.746809	-1	descriptive
NIAPY	CenterParticleSwarmOptimization	2	10	641	558	1200	0.00892096	-1	0.992382	-1	descriptive
NIAPY	DynNpDifferentialEvolution	2	10	596	600	1200	0.557474	-1	0.465439	-1	descriptive
NIAPY	CamelAlgorithm	2	10	626	571	1200	0.0592673	-1	0.947254	-1	descriptive
NIAPY	BatAlgorithm	2	10	642	557	1200	0.00761828	-1	0.993514	-1	descriptive
NIAPY	GlowwormSwarmOptimization	2	10	628	570	1200	0.0497772	-1	0.955887	-1	descriptive
NIAPY	BareBonesFireworksAlgorithm	2	10	428	772	1200	1	-1	1.02773e-23	-1	descriptive
NIAPY	CuckooSearch	2	10	645	554	1200	0.00465846	-1	0.99607	-1	descriptive
NIAPY	GeneticAlgorithm	2	10	649	551	1200	0.00254342	-1	0.997877	-1	descriptive
NIAPY	ParticleSwarmAlgorithm	2	10	628	568	1200	0.0439802	-1	0.961144	-1	descriptive
NIAPY	MonkeyKingEvolutionV3	2	10	605	592	1200	0.364362	-1	0.657124	-1	descriptive
NIAPY	MonkeyKingEvolutionV2	2	10	643	556	1200	0.00648604	-1	0.994495	-1	descriptive
NIAPY	SineCosineAlgorithm	2	10	640	557	1200	0.00887329	-1	0.992424	-1	descriptive
NIAPY	EvolutionStrategy1p1	2	10	733	462	1200	2.18527e-15	-1	1	-1	descriptive
NIAPY	HarrisHawksOptimization	2	10	635	562	1200	0.0186919	-1	0.983799	-1	descriptive
NIAPY	ParticleSwarmOptimization	2	10	638	561	1200	0.0140664	-1	0.987878	-1	descriptive
NIAPY	ForestOptimizationAlgorithm	2	10	426	774	1200	1	-1	3.11182e-24	-1	descriptive
NIAPY	EnhancedFireworksAlgorithm	2	10	334	866	1200	1	-1	3.80213e-55	-1	descriptive
NIAPY	MultiStrategyDifferentialEvolution	2	10	643	555	1200	0.00596005	-1	0.99495	-1	descriptive
NIAPY	MutatedParticleSwarmOptimization	2	10	650	549	1200	0.00192969	-1	0.998397	-1	descriptive
NIAPY	ComprehensiveLearningParticleSwarmOptimizer	2	10	625	574	1200	0.0743573	-1	0.933434	-1	descriptive
NIAPY	KrillHerd	2	10	631	565	1200	0.0300639	-1	0.973672	-1	descriptive
NIAPY	FishSchoolSearch	2	10	627	572	1200	0.0594212	-1	0.947108	-1	descriptive
NIAPY	MutatedCenterUnifiedParticleSwarmOptimization	2	10	645	555	1200	0.00508185	-1	0.995706	-1	descriptive
NIAPY	MutatedCenterParticleSwarmOptimization	2	10	653	544	1200	0.000893564	-1	0.999267	-1	descriptive
NIAPY	GlowwormSwarmOptimizationV2	2	10	640	559	1200	0.0104147	-1	0.991079	-1	descriptive
NIAPY	CatSwarmOptimization	2	10	625	573	1200	0.0702958	-1	0.937164	-1	descriptive
NIAPY	DifferentialEvolution	2	10	644	554	1200	0.00505042	-1	0.995734	-1	descriptive
NIAPY	FireworksAlgorithm	2	10	348	851	1200	1	-1	2.29739e-49	-1	descriptive
NIAPY	MothFlameOptimizer	2	10	647	553	1200	0.0036174	-1	0.996962	-1	descriptive
NIAPY	DynNpMultiStrategyDifferentialEvolution	2	10	636	564	1200	0.0201798	-1	0.982477	-1	descriptive
NIAPY	EvolutionStrategyML	2	10	357	842	1200	1	-1	6.21422e-46	-1	descriptive
NIAPY	GreyWolfOptimizer	2	10	633	566	1200	0.0282992	-1	0.975247	-1	descriptive
NIAPY	HarmonySearchV1	2	10	636	560	1200	0.0150322	-1	0.987031	-1	descriptive
NIAPY	BeesAlgorithm	2	10	644	552	1200	0.00423893	-1	0.996431	-1	descriptive
