lib	alg	dim	budget_factor	wins	losses	pairs	p_better	holm_better	p_worse	holm_worse	verdict
EVOLOPY	DE	2	10	616	584	1200	0.185425	-1	0.829609	-1	descriptive
EVOLOPY	JAYA	2	10	627	573	1200	0.0629934	-1	0.943843	-1	descriptive
EVOLOPY	PSO	2	10	627	573	1200	0.0629934	-1	0.943843	-1	descriptive
EVOLOPY	WOA	2	10	627	573	1200	0.0629934	-1	0.943843	-1	descriptive
EVOLOPY	FFA	2	10	627	573	1200	0.0629934	-1	0.943843	-1	descriptive
EVOLOPY	BAT	2	10	627	573	1200	0.0629934	-1	0.943843	-1	descriptive
EVOLOPY	MVO	2	10	627	573	1200	0.0629934	-1	0.943843	-1	descriptive
EVOLOPY	HHO	2	10	619	581	1200	0.142736	-1	0.869886	-1	descriptive
EVOLOPY	SCA	2	10	627	573	1200	0.0629934	-1	0.943843	-1	descriptive
EVOLOPY	GA	2	10	486	509	995	0.776619	-1	0.242771	-1	descriptive
EVOLOPY	MFO	2	10	627	573	1200	0.0629934	-1	0.943843	-1	descriptive
EVOLOPY	CS	2	10	627	573	1200	0.0629934	-1	0.943843	-1	descriptive
EVOLOPY	GWO	2	10	627	573	1200	0.0629934	-1	0.943843	-1	descriptive
EVOLOPY	SSA	2	10	635	565	1200	0.0231708	-1	0.97982	-1	descriptive
NIAPY	DynamicFireworksAlgorithm	2	10	318	882	1200	1	-1	5.20166e-62	-1	descriptive
NIAPY	HarmonySearch	2	10	622	578	1200	0.107238	-1	0.903045	-1	descriptive
NIAPY	EvolutionStrategyMp1	2	10	341	859	1200	1	-1	2.73975e-52	-1	descriptive
NIAPY	MonarchButterflyOptimization	2	10	590	610	1200	0.727806	-1	0.291689	-1	descriptive
NIAPY	CenterParticleSwarmOptimization	2	10	612	588	1200	0.253369	-1	0.764749	-1	descriptive
NIAPY	DynNpDifferentialEvolution	2	10	569	631	1200	0.96554	-1	0.0391044	-1	descriptive
NIAPY	CamelAlgorithm	2	10	611	589	1200	0.272194	-1	0.746631	-1	descriptive
NIAPY	BatAlgorithm	2	10	607	593	1200	0.353735	-1	0.667488	-1	descriptive
NIAPY	GlowwormSwarmOptimization	2	10	607	593	1200	0.353735	-1	0.667488	-1	descriptive
NIAPY	BareBonesFireworksAlgorithm	2	10	407	793	1200	1	-1	1.77526e-29	-1	descriptive
NIAPY	CuckooSearch	2	10	587	613	1200	0.782128	-1	0.235251	-1	descriptive
NIAPY	GeneticAlgorithm	2	10	618	582	1200	0.15616	-1	0.857264	-1	descriptive
NIAPY	ParticleSwarmAlgorithm	2	10	614	586	1200	0.217872	-1	0.798743	-1	descriptive
NIAPY	MonkeyKingEvolutionV3	2	10	589	611	1200	0.746631	-1	0.272194	-1	descriptive
NIAPY	MonkeyKingEvolutionV2	2	10	606	594	1200	0.375423	-1	0.646265	-1	descriptive
NIAPY	SineCosineAlgorithm	2	10	597	603	1200	0.580065	-1	0.442621	-1	descriptive
NIAPY	EvolutionStrategy1p1	2	10	693	507	1200	4.37867e-08	-1	1	-1	descriptive
NIAPY	HarrisHawksOptimization	2	10	595	605	1200	0.624577	-1	0.397513	-1	descriptive
NIAPY	ParticleSwarmOptimization	2	10	600	600	1200	0.511514	-1	0.511514	-1	descriptive
NIAPY	ForestOptimizationAlgorithm	2	10	401	799	1200	1	-1	2.97706e-31	-1	descriptive
NIAPY	EnhancedFireworksAlgorithm	2	10	324	876	1200	1	-1	2.2122e-59	-1	descriptive
NIAPY	MultiStrategyDifferentialEvolution	2	10	607	593	1200	0.353735	-1	0.667488	-1	descriptive
NIAPY	MutatedParticleSwarmOptimization	2	10	638	562	1200	0.0151702	-1	0.986906	-1	descriptive
NIAPY	ComprehensiveLearningParticleSwarmOptimizer	2	10	603	597	1200	0.442621	-1	0.580065	-1	descriptive
NIAPY	KrillHerd	2	10	602	598	1200	0.465496	-1	0.557379	-1	descriptive
NIAPY	FishSchoolSearch	2	10	618	582	1200	0.15616	-1	0.857264	-1	descriptive
NIAPY	MutatedCenterUnifiedParticleSwarmOptimization	2	10	629	571	1200	0.0499186	-1	0.955754	-1	descriptive
NIAPY	MutatedCenterParticleSwarmOptimization	2	10	604	596	1200	0.419935	-1	0.602487	-1	descriptive
NIAPY	GlowwormSwarmOptimizationV2	2	10	634	566	1200	0.0265263	-1	0.976829	-1	descriptive
NIAPY	CatSwarmOptimization	2	10	588	612	1200	0.764749	-1	0.253369	-1	descriptive
NIAPY	DifferentialEvolution	2	10	590	610	1200	0.727806	-1	0.291689	-1	descriptive
NIAPY	FireworksAlgorithm	2	10	318	882	1200	1	-1	5.20166e-62	-1	descriptive
NIAPY	MothFlameOptimizer	2	10	628	572	1200	0.0561566	-1	0.950081	-1	descriptive
NIAPY	DynNpMultiStrategyDifferentialEvolution	2	10	624	576	1200	0.0874141	-1	0.921408	-1	descriptive
NIAPY	EvolutionStrategyML	2	10	344	856	1200	1	-1	4.32313e-51	-1	descriptive
NIAPY	GreyWolfOptimizer	2	10	592	608	1200	0.688188	-1	0.332512	-1	descriptive
NIAPY	HarmonySearchV1	2	10	588	612	1200	0.764749	-1	0.253369	-1	descriptive
NIAPY	BeesAlgorithm	2	10	619	581	1200	0.142736	-1	0.869886	-1	descriptive
NIAPY	GlowwormSwarmOptimizationV1	2	10	597	603	1200	0.580065	-1	0.442621	-1	descriptive
NIAPY	GlowwormSwarmOptimizationV3	2	10	595	605	1200	0.624577	-1	0.397513	-1	descriptive
NIAPY	LionOptimizationAlgorithm	2	10	609	591	1200	0.311812	-1	0.708311	-1	descriptive
NIAPY	ArtificialBeeColonyAlgorithm	2	10	605	595	1200	0.397513	-1	0.624577	-1	descriptive
NIAPY	AgingNpDifferentialEvolution	2	10	608	592	1200	0.332512	-1	0.688188	-1	descriptive
NIAPY	OppositionVelocityClampingParticleSwarmOptimization	2	10	600	600	1200	0.511514	-1	0.511514	-1	descriptive
NIAPY	CoralReefsOptimization	2	10	597	603	1200	0.580065	-1	0.442621	-1	descriptive
NIAPY	BacterialForagingOptimization	2	10	584	616	1200	0.829609	-1	0.185425	-1	descriptive
NIAPY	DynamicFireworksAlgorithmGauss	2	10	342	858	1200	1	-1	6.89987e-52	-1	descriptive
NIAPY	ClonalSelectionAlgorithm	2	10	571	629	1200	0.955754	-1	0.0499186	-1	descriptive
NIAPY	GravitationalSearchAlgorithm	2	10	608	592	1200	0.332512	-1	0.688188	-1	descriptive
NIAPY	MonkeyKingEvolutionV1	2	10	616	584	1200	0.185425	-1	0.829609	-1	descriptive
NIAPY	EvolutionStrategyMpL	2	10	323	877	1200	1	-1	8.15275e-60	-1	descriptive
NIAPY	FireflyAlgorithm	2	10	607	593	1200	0.353735	-1	0.667488	-1	descriptive
NIAPY	FlowerPollinationAlgorithm	2	10	593	607	1200	0.667488	-1	0.353735	-1	descriptive
OPYTIMIZER	SA	2	10	950	250	1200	1.10605e-96	-1	1	-1	descriptive
OPYTIMIZER	GOGHS	2	10	1077	123	1200	4.55567e-191	-1	1	-1	descriptive
OPYTIMIZER	QSA	2	10	1080	120	1200	6.56188e-194	-1	1	-1	descriptive
OPYTIMIZER	SGHS	2	10	1031	169	1200	1.57118e-151	-1	1	-1	descriptive
OPYTIMIZER	DE	2	10	1066	134	1200	6.04339e-181	-1	1	-1	descriptive
OPYTIMIZER	RFO	2	10	1087	113	1200	1.10972e-200	-1	1	-1	descriptive
OPYTIMIZER	PPA	2	10	440	760	1200	1	-1	9.86963e-21	-1	descriptive
OPYTIMIZER	EHO	2	10	1095	105	1200	1.12642e-208	-1	1	-1	descriptive
OPYTIMIZER	AEO	2	10	1068	132	1200	9.42885e-183	-1	1	-1	descriptive
OPYTIMIZER	ABO	2	10	1074	126	1200	2.91616e-188	-1	1	-1	descriptive
OPYTIMIZER	GHS	2	10	1072	128	1200	2.07217e-186	-1	1	-1	descriptive
OPYTIMIZER	PVS	2	10	1094	106	1200	1.1649e-207	-1	1	-1	descriptive
OPYTIMIZER	BWO	2	10	1056	144	1200	3.98984e-172	-1	1	-1	descriptive
OPYTIMIZER	PSO	2	10	1037	163	1200	2.70847e-156	-1	1	-1	descriptive
OPYTIMIZER	BSO	2	10	1075	125	1200	3.414e-189	-1	1	-1	descriptive
OPYTIMIZER	CSA	2	10	588	612	1200	0.764749	-1	0.253369	-1	descriptive
OPYTIMIZER	SSO	2	10	927	273	1200	6.54447e-84	-1	1	-1	descriptive
