meta,3,18,1,25,160,54235.67667,31933.77667,2,231.2666667
feas,3,human,2,231.2666667
feas,3,centroid,4,451
run,3,random,500,0,29519.70254
run,3,random,500,1,29507.11
run,3,random,500,2,29507.11
run,3,random,500,3,29604.81
run,3,random,500,4,29625.81
run,3,random,2000,0,29507.11
run,3,random,2000,1,29507.11
run,3,random,2000,2,29507.11
run,3,random,2000,3,29507.11
run,3,random,2000,4,29507.11
run,3,random,8000,0,29507.11
run,3,random,8000,1,29507.11
run,3,random,8000,2,29507.11
run,3,random,8000,3,29507.11
run,3,random,8000,4,29507.11
run,3,random,32000,0,29507.11
run,3,random,32000,1,29507.11
run,3,random,32000,2,29507.11
run,3,random,32000,3,29507.11
run,3,random,32000,4,29507.11
run,3,climb,500,0,29515.95453
run,3,climb,500,1,30035.7487
run,3,climb,500,2,29507.11
run,3,climb,500,3,29507.11
run,3,climb,500,4,29516.00908
run,3,climb,2000,0,29507.11
run,3,climb,2000,1,29507.11
run,3,climb,2000,2,29507.11
run,3,climb,2000,3,29507.11
run,3,climb,2000,4,29507.11
run,3,climb,8000,0,29507.11
run,3,climb,8000,1,29507.11
run,3,climb,8000,2,29507.11
run,3,climb,8000,3,29507.11
run,3,climb,8000,4,29507.11
run,3,climb,32000,0,29507.11
run,3,climb,32000,1,29507.11
run,3,climb,32000,2,29507.11
run,3,climb,32000,3,29507.11
run,3,climb,32000,4,29507.11
run,3,anneal,500,0,29507.11
run,3,anneal,500,1,29507.11
run,3,anneal,500,2,29625.81
run,3,anneal,500,3,29625.81
run,3,anneal,500,4,29507.11
run,3,anneal,2000,0,29507.11
run,3,anneal,2000,1,29507.11
run,3,anneal,2000,2,29604.81
run,3,anneal,2000,3,29507.11
run,3,anneal,2000,4,29532.85294
run,3,anneal,8000,0,29507.11
run,3,anneal,8000,1,29507.11
run,3,anneal,8000,2,29507.11
run,3,anneal,8000,3,29507.11
run,3,anneal,8000,4,29507.11
run,3,anneal,32000,0,29507.11
run,3,anneal,32000,1,29507.11
run,3,anneal,32000,2,29507.11
run,3,anneal,32000,3,29507.11
run,3,anneal,32000,4,29507.11
run,3,ga,500,0,29507.11
