instance	haiku	sonnet	opus	fable
astropy__astropy-13033	SOLVED	SOLVED	SOLVED	SOLVED
astropy__astropy-14369	SOLVED	no(3.36)	SOLVED	SOLVED
django__django-11141	no(3.01)	no(3.03)	no(3.09)	SOLVED
django__django-11820	no(3.05)	no(3.09)	SOLVED	SOLVED
django__django-14315	no(3.04)	no(3.05)	SOLVED	SOLVED
django__django-15252	SOLVED	SOLVED	SOLVED	SOLVED
django__django-16950	no(3.10)	SOLVED	SOLVED	SOLVED
matplotlib__matplotlib-20676	no(3.22)	SOLVED	SOLVED	SOLVED
matplotlib__matplotlib-23299	no(3.13)	SOLVED	SOLVED	SOLVED
matplotlib__matplotlib-23476	no(3.03)	no(3.78)	SOLVED	SOLVED
matplotlib__matplotlib-26208	no(3.21)	no(3.25)	SOLVED	SOLVED
scikit-learn__scikit-learn-25747	no(3.09)	SOLVED	SOLVED	SOLVED
sphinx-doc__sphinx-10614	no(3.27)	SOLVED	SOLVED	no(5.02)
sympy__sympy-13798	no(3.04)	SOLVED	SOLVED	SOLVED
sympy__sympy-18199	no(3.20)	no(3.12)	no(3.34)	no(3.26)
sympy__sympy-20916	no(3.42)	SOLVED	SOLVED	SOLVED
sympy__sympy-21596	no(3.31)	no(3.13)	no(3.04)	SOLVED
sympy__sympy-22080	no(3.08)	SOLVED	SOLVED	SOLVED
