tau	instance	run	verdict	cost	posted	held	bypass	mean_conf
0	astropy__astropy-14369	20260903T215239Z	unresolved	7.2	29	0	0	91.5
0	astropy__astropy-14369	20260903T221300Z	RESOLVED	3.5	18	0	0	85.7
0	matplotlib__matplotlib-23299	20260903T195842Z	RESOLVED	3.53	14	0	0	89.6
0	matplotlib__matplotlib-23299	20260903T200512Z	RESOLVED	3.96	17	0	0	93.0
0	matplotlib__matplotlib-26208	20260903T225458Z	RESOLVED	5.76	13	0	0	94.2
0	matplotlib__matplotlib-26208	20260903T231616Z	unresolved	8.57	15	0	0	94.2
0	sphinx-doc__sphinx-10614	20260903T205039Z	unresolved	4.65	19	0	0	86.8
0	sphinx-doc__sphinx-10614	20260903T210630Z	RESOLVED	2.88	11	0	0	93.9
0	sympy__sympy-20916	20260903T194550Z	RESOLVED	1.69	8	0	0	96.4
0	sympy__sympy-20916	20260903T194853Z	RESOLVED	1.35	9	0	0	98.1
90	astropy__astropy-14369	20260903T222842Z	unresolved	3.55	11	5	0	90.0
90	astropy__astropy-14369	20260903T223745Z	unresolved	3.47	16	3	0	93.8
90	matplotlib__matplotlib-23299	20260903T203137Z	RESOLVED	3.41	10	2	0	93.3
90	matplotlib__matplotlib-23299	20260903T204042Z	RESOLVED	4.69	20	2	0	95.0
90	matplotlib__matplotlib-26208	20260903T233833Z	RESOLVED	7.1	14	2	0	93.6
90	matplotlib__matplotlib-26208	20260903T235858Z	RESOLVED	6.19	18	4	0	93.0
90	sphinx-doc__sphinx-10614	20260903T212226Z	unresolved	4.7	13	5	0	90.3
90	sphinx-doc__sphinx-10614	20260903T213440Z	unresolved	8.6	17	5	0	91.8
90	sympy__sympy-20916	20260903T193041Z	RESOLVED	1.32	8	1	0	96.9
90	sympy__sympy-20916	20260903T195507Z	RESOLVED	1.5	10	1	0	97.0
